559292	4932
559292	4922
511145	83333
243277	666
243277	686
243277	127906
208964	287
160490	301447
160490	1314
242231	485
272623	1358
272623	1360
190650	155892
198214	623
198214	42897
99287	28901
99287	59201
99287	90371
266834	382
194439	1097
171101	1313
190485	339
190485	340
208435	1311
208435	216466
190304	851
190304	76856
210007	1309
206672	216816
160488	303
176280	1282
227377	777
226185	1351
223283	251701
223283	323
226900	1396
198094	1392
167539	1219
167539	142554
243231	35554
260799	1392
284812	4896
511145	83333
511145	562
